# Datafile created by QuickNXS 4.13.0
# Datafile created using mr_reduction 2.13.0
# Datafile created using Mantid 6.13.1
# Date: 2025-10-29 11:30:42
# Type: Specular
# Input file indices: 42112,42113
# Extracted states: +-
#
#
# [Data Runs]
#  DB_ID  bg_pos  bck_roi  bg_width  r_Qsteps  r_final_rebin  P0  PN  direct_angle_offset_overwrite direct_beam  dpix   fan  y_pos low_res_roi  y_width  match_direct_beam metadata_roi_bck metadata_roi_peak number  x_pos   peak_roi  x_width  scale_err  scale  set_direct_angle_offset  set_direct_pixel  subtract_background  tof_bin_type  bin_width                                tof_range      tth  use_dangle                                                                   File
#      0    27.5 [17, 38]      21.0     -0.02              0   1   1                            0.0        None 194.0 False  167.0  [127, 207]     80.0               True         [17, 38]        [163, 184]  42112  173.5 [163, 184]     21.0        0.0    1.0                    False             False                 True             0        400 [11413.560217325685, 45388.809236341694] 0.137407       False /home/ge2/dev/ornl/quicknxs/tests/data/quicknxs-data/REF_M_42112.nxs.h5
#      0    27.5 [17, 38]      21.0     -0.02              1   1   1                            0.0        None 194.0 False  167.0  [127, 207]     80.0               True         [17, 38]        [132, 152]  42113  142.0 [132, 152]     20.0        0.0    1.0                    False             False                 True             0        400 [11413.560217325685, 45388.809236341694] 0.379784       False /home/ge2/dev/ornl/quicknxs/tests/data/quicknxs-data/REF_M_42113.nxs.h5
#
# [Peak 1 Runs]
#  DB_ID  bg_pos  bck_roi  bg_width  r_Qsteps  r_final_rebin  P0  PN  direct_angle_offset_overwrite direct_beam  dpix   fan  y_pos low_res_roi  y_width  match_direct_beam metadata_roi_bck metadata_roi_peak number  x_pos   peak_roi  x_width  scale_err  scale  set_direct_angle_offset  set_direct_pixel  subtract_background  tof_bin_type  bin_width                                tof_range      tth  use_dangle                                                                   File
#      0    27.5 [17, 38]      21.0     -0.02              0   1   1                            0.0        None 194.0 False  167.0  [127, 207]     80.0               True         [17, 38]        [163, 184]  42112  173.5 [163, 184]     21.0        0.0    1.0                    False             False                 True             0        400 [11413.560217325685, 45388.809236341694] 0.137407       False /home/ge2/dev/ornl/quicknxs/tests/data/quicknxs-data/REF_M_42112.nxs.h5
#      0    27.5 [17, 38]      21.0     -0.02              1   1   1                            0.0        None 194.0 False  167.0  [127, 207]     80.0               True         [17, 38]        [132, 152]  42113  142.0 [132, 152]     20.0        0.0    1.0                    False             False                 True             0        400 [11413.560217325685, 45388.809236341694] 0.379784       False /home/ge2/dev/ornl/quicknxs/tests/data/quicknxs-data/REF_M_42113.nxs.h5
#
# [Global Options]
# name                        value
# sample_size                    10.0
# binning_type_global         Const Q
# binning_q_step_global         -0.02
# normalize_to_unity             True
# total_reflectivity_q_cutoff    0.01
# global_stitching              False
# polynomial_stitching          False
# polynomial_stitching_degree       3
# polynomial_stitching_points       3
# apply_deadtime                False
# paralyzable_deadtime           True
# deadtime_value                  4.2
# deadtime_tof_step               100
# lock_direct_beam_y            False
# use_roi                        True
# update_peak_range             False
# use_peak_finder               False
# use_low_res_finder            False
# use_tight_bck                 False
# bck_offset                        5
# use_metadata_bck_roi           True
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]	 theta [rad]
6.434952e-03      	4.801586e-03      	1.669906e-03      	4.982947e-04      	4.322784e-03
6.492907e-03      	4.321428e-03      	1.599385e-03      	5.027875e-04      	4.322784e-03
6.551915e-03      	5.761904e-03      	1.663318e-03      	5.073621e-04      	4.322784e-03
6.612006e-03      	8.162697e-03      	2.098202e-03      	5.120207e-04      	4.322784e-03
6.673209e-03      	9.123014e-03      	2.205347e-03      	5.167658e-04      	4.322784e-03
6.735556e-03      	1.008333e-02      	2.254580e-03      	5.215996e-04      	4.322784e-03
6.799078e-03      	1.104365e-02      	2.503763e-03      	5.265249e-04      	4.322784e-03
6.863810e-03      	1.104365e-02      	2.503763e-03      	5.315440e-04      	4.322784e-03
6.929787e-03      	1.248412e-02      	2.545078e-03      	5.366599e-04      	4.322784e-03
6.997044e-03      	1.296428e-02      	2.589976e-03      	5.418753e-04      	4.322784e-03
7.065620e-03      	8.642855e-03      	2.366248e-03      	5.471930e-04      	4.322784e-03
7.135553e-03      	1.872619e-02      	3.038597e-03      	5.526163e-04      	4.322784e-03
7.206885e-03      	1.584523e-02      	2.844519e-03      	5.581482e-04      	4.322784e-03
7.279657e-03      	1.296428e-02      	2.726273e-03      	5.637921e-04      	4.322784e-03
7.353913e-03      	1.776587e-02      	3.042208e-03      	5.695513e-04      	4.322784e-03
7.429700e-03      	1.824603e-02      	3.000420e-03      	5.754295e-04      	4.322784e-03
7.507065e-03      	2.256746e-02      	3.364375e-03      	5.814304e-04      	4.322784e-03
7.586059e-03      	2.112698e-02      	3.259964e-03      	5.875579e-04      	4.322784e-03
7.666733e-03      	2.304761e-02      	3.398466e-03      	5.938160e-04      	4.322784e-03
7.749141e-03      	3.121031e-02      	3.963646e-03      	6.002090e-04      	4.322784e-03
7.833339e-03      	2.880952e-02      	3.815460e-03      	6.067412e-04      	4.322784e-03
7.919388e-03      	2.736904e-02      	3.658280e-03      	6.134173e-04      	4.322784e-03
8.007348e-03      	3.841269e-02      	4.294669e-03      	6.202421e-04      	4.322784e-03
8.097284e-03      	3.841269e-02      	4.405713e-03      	6.272206e-04      	4.322784e-03
8.189263e-03      	4.705555e-02      	4.903398e-03      	6.343580e-04      	4.322784e-03
8.283356e-03      	4.801586e-02      	4.901158e-03      	6.416599e-04      	4.322784e-03
8.379636e-03      	4.705555e-02      	4.828946e-03      	6.491320e-04      	4.322784e-03
8.478181e-03      	5.905951e-02      	5.503652e-03      	6.567804e-04      	4.322784e-03
8.579071e-03      	6.866268e-02      	5.825384e-03      	6.646113e-04      	4.322784e-03
8.682391e-03      	6.098015e-02      	5.586805e-03      	6.726314e-04      	4.322784e-03
8.788230e-03      	6.530157e-02      	5.706380e-03      	6.808476e-04      	4.322784e-03
8.896681e-03      	8.546824e-02      	6.555193e-03      	6.892673e-04      	4.322784e-03
9.007843e-03      	8.066665e-02      	6.395824e-03      	6.978980e-04      	4.322784e-03
9.121817e-03      	9.459125e-02      	6.881210e-03      	7.067478e-04      	4.322784e-03
9.238713e-03      	1.181190e-01      	7.578948e-03      	7.158252e-04      	4.322784e-03
9.358643e-03      	1.161984e-01      	7.549921e-03      	7.251392e-04      	4.322784e-03
9.481728e-03      	1.445277e-01      	8.502624e-03      	7.346989e-04      	4.322784e-03
9.608094e-03      	1.334841e-01      	8.214315e-03      	7.445144e-04      	4.322784e-03
9.737874e-03      	1.454881e-01      	8.501333e-03      	7.545961e-04      	4.322784e-03
9.871207e-03      	1.450079e-01      	8.516171e-03      	7.649549e-04      	4.322784e-03
1.000824e-02      	1.709365e-01      	9.231280e-03      	7.756024e-04      	4.322784e-03
1.014914e-02      	1.887023e-01      	9.682301e-03      	7.865509e-04      	4.322784e-03
1.029405e-02      	2.002261e-01      	1.000024e-02      	7.978135e-04      	4.322784e-03
1.044317e-02      	2.386388e-01      	1.080547e-02      	8.094036e-04      	4.322784e-03
1.059667e-02      	2.535238e-01      	1.110956e-02      	8.213361e-04      	4.322784e-03
1.075475e-02      	2.616865e-01      	1.130596e-02      	8.336261e-04      	4.322784e-03
